Total_Relationship_Count,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,L-3,Attrition_Flag
5,777,1144,42,1.625,-0.6801000584416693,0
6,864,1291,33,3.714,-0.15516490328802263,0
4,0,1887,20,2.333,-0.13542082376119324,0
3,2517,1171,20,2.333,-0.6026271310995518,0
5,0,816,28,2.5,0.6648717522242188,0
3,1247,1088,24,0.846,-0.05043421502627648,0
6,2264,1330,31,0.722,0.11423969447601089,0
2,1396,1538,36,0.714,-0.656173896595888,0
5,2517,1350,24,1.182,0.6419559530747265,0
6,1677,1441,32,0.882,-0.15833662291068556,0
5,1467,1201,42,0.68,0.7630361236547551,0
6,1587,1314,26,1.364,0.17794402130920986,0
3,0,1539,17,3.25,0.21621651186897511,0
5,1666,1311,33,2.0,-0.1756150068283437,0
5,680,1570,29,0.611,-0.1322491041385303,0
5,972,1348,27,1.7,0.11001092490044521,0
6,2362,1671,27,0.929,0.11469311875770653,0
4,1291,1028,21,1.625,0.09295741257429319,0
2,2517,1336,30,1.143,-0.53786575431345,0
6,1157,1207,21,0.909,-0.12270150115919419,0
5,1800,1178,27,0.929,0.13893627010244597,0
2,0,692,16,0.6,-0.1322491041385303,1
4,680,931,18,1.571,-0.53786575431345,0
3,1560,1126,23,0.353,0.07321333304746377,0
4,0,1110,21,0.75,0.09295741257429319,0
6,1669,1051,22,0.833,-0.15516490328802263,0
4,1374,1197,23,1.3,-0.5208122419872979,0
3,1010,1904,40,1.0,0.03570971718099067,0
5,0,1052,18,1.571,0.7119229710700281,0
6,1362,1045,38,0.9,-0.53786575431345,0
3,1811,1038,25,2.571,0.09295741257429319,0
2,1690,1596,26,1.6,0.6648717522242188,0
4,2517,1589,24,1.667,-0.1926685191544957,0
5,1490,1411,28,1.0,0.24230403064113037,0
6,1696,1291,24,0.714,-0.13542082376119324,0
4,1914,1407,43,0.483,0.21938823149163805,0
6,2298,1877,37,1.176,-0.1322491041385303,0
2,0,966,22,1.2,-0.6222615252350678,0
3,886,1464,28,0.556,-0.03338070270012446,0
5,605,704,16,0.143,0.14135599878715557,1
2,578,1109,28,0.474,-0.15833662291068556,0
4,2204,1347,28,0.556,0.17794402130920986,0
3,2517,1756,33,1.2,0.3080757701235212,0
5,0,1756,32,1.0,-0.6801000584416693,0
2,2055,1042,23,0.917,-0.14561730030868653,0
3,0,1444,28,1.333,0.6992036484680292,0
6,1430,1741,27,0.588,0.07138898079185411,0
3,2020,1719,27,1.7,0.2136232849200733,0
4,1435,1217,27,0.8,-0.6228523630483667,0
5,1227,1140,40,0.6,0.21621651186897511,0
6,1549,1878,30,1.143,0.09612913219695608,0
2,808,705,19,0.9,-0.1322491041385303,1
3,2179,1946,38,1.923,-0.6196806434257038,0
4,2517,1414,35,0.25,0.11682057628537496,0
1,0,602,15,0.364,-0.11155766005011143,1
6,2200,1052,32,0.6,-0.11519559181237828,0
2,2363,1295,40,0.6,-0.15516490328802263,0
4,1880,1424,29,1.417,0.8071060563524382,0
4,978,1359,25,1.083,-0.12270150115919419,0
4,1753,1168,27,1.25,-0.7030158575911616,0
4,2016,1097,33,0.833,0.09295741257429319,0
2,0,691,15,0.5,-0.18579586963486644,1
5,1251,1316,28,1.154,-0.6125527691310774,0
2,2102,1276,26,0.733,0.1385562824687883,0
4,1634,1289,23,0.917,-0.6219049984867773,0
4,1515,1293,32,0.6,0.7060762979876585,0
5,1817,1353,35,0.667,0.18188461562516497,0
6,1468,1132,28,0.556,0.702375368090692,0
2,1107,1670,17,2.4,-0.1926685191544957,0
6,1330,837,15,2.0,0.12863667618515656,0
3,1763,1550,41,1.05,-0.13447345919960374,0
5,1034,1540,36,0.286,-0.1322491041385303,0
4,2030,1256,21,0.4,-0.1756150068283437,0
6,1528,1394,35,0.522,0.7221194476175214,0
3,1932,1341,24,1.182,0.15896881647567265,0
