Total_Relationship_Count,Total_Revolving_Bal,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,L-3,Attrition_Flag
2,1396,36,0.714,0.1191106073744262,0
5,2517,24,1.182,0.2385812628268279,0
5,1666,33,2.0,-0.3387534562038099,0
2,2055,23,0.917,0.09287996824968432,0
5,1251,28,1.154,-0.004159342086559247,0
4,1801,57,0.966,0.1458394073287654,0
4,2517,19,0.727,0.12502227248163364,0
4,1475,25,0.667,0.5426503349684096,0
2,1652,39,1.294,-0.48186417013483573,0
2,583,24,1.0,0.0800074979262624,0
5,1130,44,0.76,0.1699419021370147,0
4,0,43,0.536,0.535743417188006,0
2,2154,29,1.417,0.09287996824968432,0
4,2517,35,0.944,0.6436811845301735,0
4,1605,46,0.643,0.1458394073287654,0
6,969,15,2.75,0.4444714458451589,0
6,1818,37,1.176,-0.037491835349538497,0
6,2008,53,0.656,0.13463537641434062,0
4,913,35,1.333,0.1321783749020386,0
5,1299,20,0.667,0.2385812628268279,1
3,1257,29,0.933,0.4490160826774426,0
6,0,23,0.643,0.5176554433672559,0
5,0,35,0.75,-0.5858363918218854,0
5,2192,25,1.083,0.2053623724241354,0
2,1911,25,0.562,-0.49147727406754266,1
4,1483,60,0.622,0.05638291179182048,0
5,885,32,0.684,0.4444714458451589,0
4,1529,32,1.286,0.06599601572452743,0
3,1786,63,0.575,0.04809391772811908,0
5,0,28,0.333,0.1458394073287654,0
3,1721,37,0.762,0.1321783749020386,0
6,2019,40,0.481,0.10807588009378928,0
4,1203,40,1.0,-0.037491835349538497,0
5,1466,28,0.556,-0.01285744286093352,0
6,0,27,0.929,0.13463537641434062,0
5,1276,48,0.778,0.028785244392154796,0
6,0,37,0.85,-0.037491835349538497,0
6,1616,54,0.35,0.5131108065349722,0
3,1113,45,0.607,0.482234973080135,0
6,1853,35,1.059,0.039436519403976106,0
4,1575,60,0.579,0.11943946457023565,0
4,2104,37,0.85,-0.02054544296169411,0
4,479,37,0.37,0.13463537641434062,0
4,1528,38,0.727,0.535743417188006,0
4,2217,36,0.895,0.46141783823300336,0
3,1550,33,0.32,0.024240607559871175,0
6,0,32,0.778,-0.037491835349538497,0
3,1593,41,0.367,0.039436519403976106,0
6,491,59,0.405,0.13672301173432222,0
4,864,64,1.0,0.03114752534027468,0
6,2326,63,0.615,0.1699419021370147,0
3,2517,43,0.344,0.14578131730179467,0
5,843,28,0.4,0.47401097427859634,0
5,1381,60,0.429,0.04398115623625973,0
3,0,35,1.5,0.14578131730179467,0
5,2517,64,0.524,0.1321783749020386,0
6,1542,39,0.5,0.550939329032111,0
4,987,36,0.8,0.47401097427859634,0
6,1902,22,1.0,0.5508743337699483,0
4,1847,43,0.87,-0.010932339028987164,0
5,727,40,0.6,0.09742460508196794,0
3,1214,40,0.333,0.039436519403976106,0
4,1197,49,0.441,0.5396703028555236,0
4,1203,31,0.632,0.0356921621725583,0
3,2035,42,0.909,0.04398115623625973,0
4,2350,61,0.649,0.6195786897219242,0
5,1597,46,0.314,0.5176554433672559,0
4,1758,33,0.737,0.024240607559871175,0
6,0,66,0.65,0.5396703028555236,0
6,1635,37,0.542,0.47401097427859634,0
3,1843,58,0.526,0.9559742554732938,0
4,1545,65,0.512,0.5267137489347283,0
6,2517,56,0.75,0.6195786897219242,0
6,1395,33,0.5,0.04398115623625973,0
3,1117,39,0.696,1.0246136161631072,0
4,1393,35,0.522,0.550939329032111,0
6,1705,69,0.568,0.12502227248163364,0
6,2227,48,0.548,0.04398115623625973,0
3,1631,45,0.552,0.6436811845301735,0
4,1482,42,2.5,0.5300571989228167,0
6,1791,32,0.6,0.0772000466389522,0
3,1729,42,0.448,0.4444714458451589,0
3,0,71,0.651,0.10807588009378928,0
3,2265,57,0.629,0.06599601572452743,0
5,2517,23,0.917,1.0246136161631072,0
4,2517,60,0.714,0.7123205452199867,0
3,2420,47,0.808,0.6436811845301735,0
6,2322,63,1.032,0.5176554433672559,0
6,658,37,0.947,0.06599601572452743,0
3,2127,36,1.0,0.039436519403976106,0
3,2037,36,0.241,0.2053623724241354,0
6,674,31,0.722,0.04398115623625973,0
3,2257,42,0.75,0.06599601572452743,0
4,997,47,0.958,0.024240607559871175,0
5,1479,49,0.581,0.1458394073287654,0
6,673,48,0.412,0.5131108065349722,0
3,1515,35,0.667,0.04398115623625973,0
4,2517,37,1.176,0.15873787122258992,0
5,1762,39,0.56,0.482234973080135,0
5,1539,54,0.688,-0.20336908077157376,0
5,1890,75,0.829,-0.6235999190568615,0
6,2047,33,0.737,0.9559742554732938,0
6,2307,43,0.72,0.47401097427859634,0
4,1292,33,1.357,0.06599601572452743,0
4,629,31,0.632,0.0772000466389522,0
4,0,47,0.469,0.09287996824968432,0
5,1176,41,0.708,0.9559742554732938,0
5,2024,34,0.7,0.0772000466389522,0
6,1496,64,0.6,0.6043827778778192,0
3,681,48,0.778,-0.02054544296169411,0
4,2072,51,0.594,0.535743417188006,0
6,1418,39,0.773,0.039436519403976106,0
5,2377,39,0.696,-0.037491835349538497,0
6,1956,51,0.417,-0.026460385260689584,0
4,2517,32,0.882,0.47103094216571034,0
4,845,58,0.611,0.2385812628268279,0
5,782,34,0.889,-0.037491835349538497,0
3,1394,36,0.714,0.9559742554732938,0
3,1136,63,0.5,0.06891105257525078,0
3,2517,33,0.941,-0.3387534562038099,0
3,2517,36,0.636,0.1321783749020386,0
5,456,74,0.542,-0.5818445108922052,0
3,1733,53,0.71,0.30813372885656104,0
3,1733,58,0.487,0.04128301094179293,0
3,2146,45,0.667,0.1699419021370147,0
5,1880,39,0.95,0.47401097427859634,0
6,2517,22,0.467,0.1126205169260729,1
4,1692,30,0.875,-0.48186417013483573,0
3,1357,46,0.438,0.024240607559871175,0
3,0,50,1.083,0.0772000466389522,0
4,0,43,0.654,0.550939329032111,0
5,2517,40,0.739,0.14912476728988294,0
6,2517,42,1.1,0.06082826241399107,0
6,2517,52,0.926,0.10992237163160613,0
4,1887,55,0.618,0.46141783823300336,0
4,1599,31,0.722,0.024240607559871175,0
6,1445,33,1.75,0.550939329032111,0
3,0,21,0.167,-0.037491835349538497,1
2,0,18,0.286,0.0582294033296373,1
5,1789,55,0.897,0.039436519403976106,0
4,1888,39,0.696,0.550939329032111,0
5,1392,36,1.25,0.039436519403976106,0
6,1613,40,0.667,0.024240607559871175,0
3,1514,44,0.294,0.10807588009378928,0
3,1151,47,0.424,0.535743417188006,0
3,0,16,0.231,0.9559742554732938,1
5,815,48,0.778,0.10807588009378928,0
6,845,37,0.682,0.1126205169260729,0
4,1691,27,0.929,0.7123205452199867,0
3,1884,15,1.5,-0.010932339028987164,1
5,1421,59,0.439,0.6043827778778192,0
4,1230,33,0.435,0.47401097427859634,0
4,2517,44,0.467,0.039436519403976106,0
5,1619,53,1.208,0.039436519403976106,0
3,1776,31,0.824,0.15873787122258992,0
5,1848,64,0.524,0.14578131730179467,0
5,1247,40,0.6,0.039436519403976106,0
4,0,65,0.806,0.044179263311686846,0
3,2145,43,0.433,0.6436811845301735,0
5,2055,36,0.636,0.9559742554732938,0
6,1598,43,0.536,0.10807588009378928,0
3,590,52,1.08,0.4444714458451589,0
4,671,56,0.931,0.9559742554732938,0
3,0,39,0.56,0.9559742554732938,0
3,1408,23,0.643,0.4444714458451589,1
6,2173,34,1.0,0.535743417188006,0
5,1670,51,0.545,1.0246136161631072,0
6,0,56,0.6,-0.6853323619662711,0
5,1228,67,0.971,0.10807588009378928,0
6,1140,45,0.957,0.47875371818630713,0
3,684,37,0.48,-0.6038593703804729,0
6,1352,58,0.812,0.07904653817676903,0
5,2351,50,0.667,0.4444714458451589,0
3,1773,45,0.667,0.13672301173432222,0
4,0,28,0.867,-0.4145489193140281,0
6,0,29,0.381,0.1458394073287654,0
3,775,33,0.435,0.46141783823300336,0
5,1720,37,0.48,0.2273772319124031,0
6,1638,56,0.806,1.0246136161631072,0
5,2027,48,0.655,0.482234973080135,0
6,1591,33,1.062,0.039436519403976106,0
5,1872,61,1.103,-0.0055448283217796115,0
4,0,29,0.611,0.039436519403976106,0
3,0,57,0.357,0.1126205169260729,0
5,1492,32,0.455,0.05638291179182048,0
4,0,57,1.111,-0.010932339028987164,0
4,1474,41,0.783,0.028785244392154796,0
6,1473,30,0.429,0.1321783749020386,0
5,1676,88,0.725,0.0356921621725583,0
6,794,46,0.586,-0.032947198517254875,0
6,1880,55,0.774,0.09287996824968432,0
4,2279,69,0.643,0.6195786897219242,0
6,695,69,0.725,0.6195786897219242,0
5,1996,49,0.69,-0.037491835349538497,0
6,0,19,1.111,0.6195786897219242,1
4,1390,42,0.556,0.1126205169260729,0
5,0,40,0.818,0.039436519403976106,0
6,1982,35,0.944,0.1321783749020386,0
6,1318,43,0.593,0.9559742554732938,0
3,1422,24,0.714,-0.6235999190568615,0
4,1598,39,0.95,0.024240607559871175,0
4,0,36,0.636,0.47401097427859634,0
5,0,60,0.714,-0.6587728656457198,0
5,0,56,0.931,0.5659399436720255,0
6,1260,47,0.567,0.039436519403976106,0
3,574,33,0.32,0.482234973080135,0
3,675,36,0.636,0.0002716918854376263,0
6,1567,49,1.042,0.6195786897219242,0
3,810,44,0.571,0.039436519403976106,0
